Anderson_IN,Anderson,IN,131312,1
Warner Robins_GA,Warner Robins,GA,131016,1
La Crosse_WI-MN,La Crosse,WI-MN,130926,1
Auburn-Opelika_AL,Auburn-Opelika,AL,130516,1
Valdosta_GA,Valdosta,GA,130170,1
Wausau_WI,Wausau,WI,129958,1
Pittsfield_MA,Pittsfield,MA,129798,1
Odessa_TX,Odessa,TX,129570,1
Glens Falls_NY,Glens Falls,NY,128886,1
Eureka-Arcata-Fortuna_CA,Eureka-Arcata-Fortuna,CA,128864,1
Lumberton_NC,Lumberton,NC,128149,1
Lebanon_PA,Lebanon,PA,127889,1
Sierra Vista-Douglas_AZ,Sierra Vista-Douglas,AZ,127866,1
Flagstaff_AZ,Flagstaff,AZ,127450,1
Midland_TX,Midland,TX,126408,1
Mansfield_OH,Mansfield,OH,125679,1
Altoona_PA,Altoona,PA,125527,1
St. Joseph_MO-KS,St. Joseph,MO-KS,123339,1
Weirton-Steubenville_WV-OH,Weirton-Steubenville,WV-OH,122580,1
Farmington_NM,Farmington,NM,122427,1
Winchester_VA-WV,Winchester,VA-WV,121190,1
Logan_UT-ID,Logan,UT-ID,121090,1
Augusta-Waterville_ME,Augusta-Waterville,ME,120839,1
Rapid City_SD,Rapid City,SD,120279,1
Salisbury_MD,Salisbury,MD,119616,1
New Bern_NC,New Bern,NC,119450,1
Idaho Falls_ID,Idaho Falls,ID,119396,1
Sherman-Denison_TX,Sherman-Denison,TX,118675,1
Morgantown_WV,Morgantown,WV,117770,1
Harrisonburg_VA,Harrisonburg,VA,117563,1
Watertown-Fort Drum_NY,Watertown-Fort Drum,NY,117201,1
Willimantic_CT,Willimantic,CT,117038,1
Williamsport_PA,Williamsport,PA,116811,1
Staunton-Waynesboro_VA,Staunton-Waynesboro,VA,116412,1
Jonesboro_AR,Jonesboro,AR,116402,1
Mount Vernon-Anacortes_WA,Mount Vernon-Anacortes,WA,116397,1
Bowling Green_KY,Bowling Green,KY,116001,1
Muncie_IN,Muncie,IN,115419,1
Hammond_LA,Hammond,LA,115398,1
Sheboygan_WI,Sheboygan,WI,114504,1
Lawton_OK,Lawton,OK,113811,1
Victoria_TX,Victoria,TX,113797,1
Manhattan_KS,Manhattan,KS,113629,1
Goldsboro_NC,Goldsboro,NC,113590,1
Wooster_OH,Wooster,OH,113554,1
Lawrence_KS,Lawrence,KS,113488,1
Albany-Lebanon_OR,Albany-Lebanon,OR,113264,1
Anniston-Oxford_AL,Anniston-Oxford,AL,113103,1
Allegan_MI,Allegan,MI,112761,1
Jackson_TN,Jackson,TN,112660,1
Owensboro_KY,Owensboro,KY,112104,1
Elizabethtown_KY,Elizabethtown,KY,111610,1
Show Low_AZ,Show Low,AZ,111273,1
Cleveland_TN,Cleveland,TN,111121,1
Kankakee-Bradley_IL,Kankakee-Bradley,IL,110705,1
Ogdensburg-Massena_NY,Ogdensburg-Massena,NY,109809,1
Michigan City-La Porte_IN,Michigan City-La Porte,IN,109787,1
Decatur_IL,Decatur,IL,108732,1
Dunn_NC,Dunn,NC,108721,1
East Liverpool-Salem_OH,East Liverpool-Salem,OH,108698,1
San Angelo_TX,San Angelo,TX,108085,1
Bay City_MI,Bay City,MI,107517,1
Wenatchee_WA,Wenatchee,WA,107170,1
Lewiston-Auburn_ME,Lewiston-Auburn,ME,106815,1
Danville_VA,Danville,VA,105773,1
Missoula_MT,Missoula,MT,105650,1
Lima_OH,Lima,OH,105233,1
Bluefield_WV-VA,Bluefield,WV-VA,105205,1
Meridian_MS,Meridian,MS,104623,1
Roseburg_OR,Roseburg,OR,104119,1
Sumter_SC,Sumter,SC,103943,1
Bismarck-Mandan _ND,Bismarck-Mandan ,ND,103242,1
Gadsden_AL,Gadsden,AL,103217,1
Brunswick_GA,Brunswick,GA,101792,1
Cookeville_TN,Cookeville,TN,101682,1
Pine Bluff_AR,Pine Bluff,AR,101484,1
Adrian_MI,Adrian,MI,101243,1
Ashtabula_OH,Ashtabula,OH,101141,1
Ithaca_NY,Ithaca,NY,101055,1
Whitewater_WI,Whitewater,WI,1800,1
Gettysburg_PA,Gettysburg,PA,1779,1
Longview_WA,Longview,WA,1467,1
Lexington Park_MD,Lexington Park,MD,1378,1
Kokomo_IN,Kokomo,IN,99845,1
Sebring_FL,Sebring,FL,99349,1
Cumberland_MD-WV,Cumberland,MD-WV,99316,1
Fond du Lac_WI,Fond du Lac,WI,99124,1
Tullahoma_TN,Tullahoma,TN,99067,1
Shelby_NC,Shelby,NC,98453,1
Paducah_KY-IL,Paducah,KY-IL,97791,1
Richmond-Berea_KY,Richmond-Berea,KY,97790,1
Grand Forks_ND-MN,Grand Forks,ND-MN,97691,1
Fairbanks_AK,Fairbanks,AK,97484,1
Truckee-Grass Valley_CA,Truckee-Grass Valley,CA,97027,1
Corning_NY,Corning,NY,96874,1
Ocean City_NJ,Ocean City,NJ,96422,1
Hot Springs_AR,Hot Springs,AR,96371,1
Rome_GA,Rome,GA,95618,1
Enterprise-Ozark_AL,Enterprise-Ozark,AL,94943,1
Cape Girardeau-Jackson_MO-IL,Cape Girardeau-Jackson,MO-IL,93316,1
Twin Falls_ID,Twin Falls,ID,93124,1
Dubuque_IA,Dubuque,IA,92359,1
Clarksburg_WV,Clarksburg,WV,91688,1
Mankato-North Mankato_MN,Mankato-North Mankato,MN,91482,1
New Philadelphia-Dover_OH,New Philadelphia-Dover,OH,91398,1
Opelousas-Eunice_LA,Opelousas-Eunice,LA,91362,1
Sunbury_PA,Sunbury,PA,91003,1
New Castle_PA,New Castle,PA,90991,1
Brainerd_MN,Brainerd,MN,90371,1
Orangeburg_SC,Orangeburg,SC,89952,1
Meadville_PA,Meadville,PA,88663,1
Palm Coast_FL,Palm Coast,FL,88397,1
Elmira_NY,Elmira,NY,88015,1
Beaver Dam_WI,Beaver Dam,WI,87786,1
Indiana_PA,Indiana,PA,87690,1
Albertville_AL,Albertville,AL,87644,1
Pocatello_ID,Pocatello,ID,87609,1
Bozeman_MT,Bozeman,MT,87359,1
Kalispell_MT,Kalispell,MT,86844,1
Cheyenne_WY,Cheyenne,WY,86353,1
Ukiah_CA,Ukiah,CA,86273,1
Zanesville_OH,Zanesville,OH,85333,1
Laurel_MS,Laurel,MS,84834,1
Ames_IA,Ames,IA,84752,1
Pendleton-Hermiston_OR,Pendleton-Hermiston,OR,84690,1
Southern Pines-Pinehurst_NC,Southern Pines-Pinehurst,NC,84435,1
Sevierville_TN,Sevierville,TN,83527,1
Moses Lake_WA,Moses Lake,WA,83047,1
Midland_MI,Midland,MI,82818,1
Lufkin_TX,Lufkin,TX,82812,1
Bloomsburg-Berwick_PA,Bloomsburg-Berwick,PA,82543,1
Plattsburgh_NY,Plattsburgh,NY,82215,1
Great Falls_MT,Great Falls,MT,81775,1
DuBois_PA,DuBois,PA,81452,1
Corvallis_OR,Corvallis,OR,81428,1
Oak Harbor_WA,Oak Harbor,WA,81326,1
Danville_IL,Danville,IL,81191,1
Grants Pass_OR,Grants Pass,OR,81056,1
Manitowoc_WI,Manitowoc,WI,80928,1
Russellville_AR,Russellville,AR,80747,1
Cullman_AL,Cullman,AL,80554,1
Talladega-Sylacauga_AL,Talladega-Sylacauga,AL,80255,1
Watertown-Fort Atkinson_WI,Watertown-Fort Atkinson,WI,80213,1
Olean_NY,Olean,NY,80087,1
Auburn_NY,Auburn,NY,80066,1
Columbia_TN,Columbia,TN,79966,1
Stillwater_OK,Stillwater,OK,79931,1
Beckley_WV,Beckley,WV,79170,1
Athens_TX,Athens,TX,78897,1
Somerset_PA,Somerset,PA,77861,1
Keene_NH,Keene,NH,77725,1
Sandusky_OH,Sandusky,OH,77323,1
Branson_MO,Branson,MO,77273,1
Quincy_IL-MO,Quincy,IL-MO,77086,1
Wilson_NC,Wilson,NC,76754,1
Warsaw_IN,Warsaw,IN,76115,1
Portsmouth_OH,Portsmouth,OH,75958,1
Roanoke Rapids_NC,Roanoke Rapids,NC,75890,1
Chillicothe_OH,Chillicothe,OH,75398,1
New Iberia_LA,New Iberia,LA,74965,1
Columbus_IN,Columbus,IN,74750,1
Findlay_OH,Findlay,OH,74204,1
Marshfield-Wisconsin Rapids_WI,Marshfield-Wisconsin Rapids,WI,73944,1
Palatka_FL,Palatka,FL,73821,1
Centralia_WA,Centralia,WA,73645,1
Searcy_AR,Searcy,AR,73441,1
Lancaster_SC,Lancaster,SC,73393,1
Key West_FL,Key West,FL,73223,1
Lincolnton_NC,Lincolnton,NC,73106,1
Mount Airy_NC,Mount Airy,NC,72380,1
The Villages_FL,The Villages,FL,72246,1
Hinesville-Fort Stewart_GA,Hinesville-Fort Stewart,GA,71803,1
Owosso_MI,Owosso,MI,71753,1
Casper_WY,Casper,WY,71750,1
Aberdeen_WA,Aberdeen,WA,71335,1
Helena_MT,Helena,MT,71119,1
Muskogee_OK,Muskogee,OK,71116,1
Seneca_SC,Seneca,SC,70753,1
Port Angeles_WA,Port Angeles,WA,70474,1
